Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Vivo Y01,2,MediaTek Helio P35 (MT6765),5,8,0,0,0,None,5000,Android 11 (Go edition),Android,1152000,163.96,75.2,8.28,178,60,6.51,32,Yes,No,No,No,3.5,yes,7999
Nokia C01 Plus,1,Unisoc SC9863A,5,5,0,0,0,None,3000,Android 11 (Go edition),Android,1036800,148,71.8,9.3,157,60,5.45,16,Yes,No,No,No,3.5,no,5800
Poco C3,3,MediaTek Helio G35,-,13,0,0,0,None,5000,Android 10,Android,1152000,164.9,77.1,9,194,60,6.53,32,Yes,No,No,No,3.5,yes,8800
Oppo A3s,2,Qualcomm Snapdragon 450,8,13,2,0,0,None,4230,Android 8.1 Oreo,Android,1094400,156.2,75.6,8.2,168,60,6.2,16,Yes,No,No,No,3.5,yes,7441
Xiaomi Redmi Note 4,4,Qualcomm Snapdragon 625,5,13,0,0,0,None,4100,Android 6.0,Android,2073600,151,76,8.3,175,60,5.5,64,Yes,No,No,No,3.5,Yes,10000
Itel A60,2,Spreadtrum SC9832E,5,8,0,0,0, VGA,5000,Android 11,Android,1160640,165,76,9,192,90,6.6,32,Yes,No,No,No,3.5,Yes,5875
Oppo A16K,3,MediaTek Helio G35,5,13,0,0,0,None,4230,Android 11,Android,1152000,164,75.4,7.85,175,60,6.52,32,Yes,No,No,No,3.5,No,10469
Realme C11,2,MediaTek Helio G35,5,13,2,0,0,None,5000,Android 10,Android,1152000,164.4,75.9,9.1,196,90,6.5,32,Yes,No,No,No,3.5,no,8999
Motorola Moto E40,4,Unisoc T700,8,48,2,2,0,None,5000,Android 11,Android,1152000,165.1,75.6,9.1,198,90,6.5,64,Yes,No,No,No,-,Yes,8999
Vivo Y15 (2019),4,MediaTek Helio P22 (MT6762),16,13,8,2,0,None,5000,Android 9 Pie,Android,1111680,159.43,76.77,8.92,190.5,60,6.35,64,Yes,No,No,No,-,Yes,12500
Infinix Hot 12,4,MediaTek Helio G37,8,50,2,0,0, AI,6000,Android 11,Android,1160640,171.5,77.5,9.2,194.9,90,6.82,64,Yes,No,No,No,-,Yes,8999
Realme C11 (2021),2,Unisoc SC9863A,5,8,0,0,0,None,5000,Android 11,Android,1152000,165.2,76.4,8.9,190,60,6.5,32,Yes,No,No,No,3.5,Yes,7499
Samsung Galaxy J7 Nxt,2,Exynos 7870 Octa,5,13,0,0,0,None,3000,Android 7.0,Android,921600,152.4,78.6,7.6,170,-,5.5,16,Yes,No,No,No,3.5,Yes,9999
Lava Z3,0.003,MediaTek Helio A20,5,8,0,0,0, AI Lens,5000,Android 11,Android,1152000,164.5,75.8,8.9,192,60,6.5,32,Yes,No,No,No,3.5,Yes,6490
Samsung Galaxy M11,3,Qualcomm Snapdragon 450,8,13,5,2,0,None,5000,Android 10,Android,1123200,161.4,76.3,9,197,60,6.4,32,Yes,No,No,No,3.5,Yes,12999
Realme C25,4,MediaTek Helio G70,8,13,2,2,0,None,6000,Android 11,Android,1152000,164.5,75.9,9.6,209,60,6.5,64,Yes,No,No,No,3.5,Yes,10999
Tecno Pop 7 Pro,4,Mediatek MT6761 Helio A22,5,12,12,0,0,None,5000,Android 12,Android,1160640,163.86,75.51,8.9,190,60,6.6,64,Yes,No,No,No,3.5,Yes,7299
Moto E22s,4,MediaTek Helio G37,8,16,2,0,0,None,5000,Android 12,Android,1152000,163.95,74.94,8.49,185,90,6.5,64,Yes,No,No,No,-,Yes,8999
Realme C25Y,4,Unisoc T610,8,50,2,2,0,None,5000,Android 11,Android,1152000,164.5,76,9.1,200,60,6.5,64,Yes,No,No,No,3.5,Yes,10999
Realme C33 2023,4,Unisoc T612,5,50,50,0,0,None,5000,Android 12,Android,-,164.2,75.7,8.3,187,60,6.5,64,Yes,No,No,No,3.5,Yes,9999
Motorola Moto G22,4,MediaTek Helio G37,16,50,8,2,2,None,5000,Android 12,Android,1152000,163.95,74.94,8.49,185,90,6.53,64,Yes,No,No,No,3.5,Yes,9999
"Vivo Y15c (3GB RAM, 32GB)",3,MediaTek Helio P35 (MT6765),8,13,2,0,0,None,5000,Android 12,Android,1152000,163.96,75.2,8.28,179,60,6.51,32,Yes,No,No,No,-,Yes,9499
"Micromax In Note 2 (4GB RAM, 64GB)",4,MediaTek Helio G95,16,48,5,2,2,None,5000,Android 11,Android,2592000,159.9,74.3,8.34,205,60,6.43,64,Yes,No,No,No,3.5,Yes,13499
"Poco F1 (6GB RAM, 128GB)",6,Qualcomm Snapdragon 845,20,12,5,0,0,None,4000,Android 8.1,Android,2425680,155.5,75.2,8.8,182,60,6.18,128,Yes,No,No,No,3.5,Yes,11599
Tecno Spark 9,4,MediaTek Helio G37,8,13,0,0,0,None,5000,Android 12,Android,-,164.57,76,8.95,194,90,6.6,64,Yes,No,No,No,-,Yes,7499
Vivo Y20G,4,MediaTek Helio G80,8,13,2,2,0,None,5000,Android 11,Android,1152000,164.41,76.32,8.41,192,60,6.51,64,Yes,No,No,No,-,Yes,14990
Samsung Galaxy A12,4,MediaTek Helio P35 (MT6765),8,48,5,2,2,None,5000,Android 10,Android,1152000,164,75.8,8.9,205,60,6.5,64,Yes,No,No,No,3.5,Yes,10498
Micromax In 2b,4,Unisoc T610,5,13,2,0,0,None,5000,Android 11,Android,720,164.3,75.7,8.6,190,60,6.52,64,Yes,No,No,No,-,Yes,6999
Vivo Y53,2,Qualcomm Snapdragon 425,5,8,0,0,0,None,2500,Android 6.0,Android,518400,144.2,71.4,7.64,137,90,5,16,Yes,No,No,No,3.5,Yes,9990
Realme C20,2,MediaTek Helio G35,5,8,0,0,0,None,5000,Android 10,Android,1152000,165.2,76.4,8.9,190,60,6.5,32,Yes,No,No,No,3.5,Yes,7499
Vivo U10,3,Qualcomm Snapdragon 665,8,13,8,2,0,None,5000,Android 9 Pie,Android,1111680,159.43,76.77,8.92,190.5,-,6.35,32,Yes,No,No,No,3.5,Yes,9499
Vivo Y12,3,MediaTek Helio P22 (MT6762),8,8,13,2,0,None,5000,Android 9 Pie,Android,1111680,159.43,76.77,8.92,190.5,60,6.35,32,Yes,No,No,No,-,Yes,11000
Lenovo Tab M9,3,MediaTek Helio G80 SoC,2,8,0,0,0,None,5100,Android 12,Android,1072000,215.43,136.76,7.99,344,-,9,32,Yes,No,No,No,-,Yes,12999
Samsung Galaxy Tab A8,3,Unisoc Tiger T618,5,8,0,0,0,None,7040,Android 11,Android,2304000,246.8,161.9,6.9,508,60,10.5,32,Yes,No,No,No,3.5,Yes,13499
Samsung Galaxy Tab A7 Lite,3,MediaTek Helio P22T (MT8768T),2,8,0,0,0,None,5100,Android 11,Android,1072000,212.5,124.7,8,366,60,8.7,32,Yes,No,No,No,-,Yes,15000
Itel Pad One,4,SC9863A1,5,8,0,0,0,None,6000,Android 12 (Go Edition),Android,1024000,241.37,160.16,8.2,520,-,10.1,128,Yes,No,No,No,3.5,no,12999
Lenovo Tab K10,3,MediaTek Helio P22T,5,8,0,0,0,None,7500,Android 11,Android,2304000,244,153,8.15,460,-,10.3,32,Yes,No,No,No,3.5,Yes,12999
Acer Iconia One 8,1,Intel Atom Z3735G,-,0,0,0,0,None,4420,Android 4.4,Android,1024000,127.7,213.9,9.5,355,-,8,16,Yes,No,No,No,3.5,Yes,9999
Realme Pad Mini,3,Unisoc T616,5,8,0,0,0,None,6400,Android 11,Android,1072000,211.8,124.5,7.6,372,60,8.7,32,Yes,No,No,No,-,Yes,11628
Realme Pad,4,MediaTek Helio G80,8,8,0,0,0,None,7100,Android 11,Android,2400000,246.1,155.9,6.9,440,60,10.4,64,Yes,No,No,No,3.5,Yes,15272
Samsung Galaxy Tab A 10.1 (2019) (Wi-Fi),2,Exynos 7904,5,8,0,0,0,None,6150,Android 9.0,Android,2304000,245,149,7.5,460,-,10.1,32,Yes,No,No,No,-,No,11990
Motorola Moto Tab G20,3,MediaTek Helio P22 SoC,2,5,0,0,0,None,5100,Android 11,Android,960000,199.1,121.8,8.15,305,90,8,32,Yes,No,No,No,3.5,No,10990
Samsung Galaxy Tab A7 (LTE),3,Qualcomm Snapdragon 662,5,8,0,0,0,None,7040,Android 10,Android,2400000,157.4,247.6,7,477,60,10.4,32,Yes,No,No,No,3.5,Yes,15490
Lenovo Smart Tab M10 FHD Plus 2nd Gen With Google Assistant,2,MediaTek Helio P22T Tab,5,8,0,0,0,None,5000,Android 9 Pie,Android,2304000,244.2,153.3,8.15,460,60,10.3,32,Yes,No,No,No,3.5,Yes,16000
Nokia T21,4,Unisoc T612,8,8,0,0,0,None,8200,Android 12,Android,2400000,247.5,157.3,7.5,466,60,10.36,64,Yes,No,No,No,3.5,No,14999
